Ticker,Ticker_name,Category,Date,model_score_wtd_change,current_model_score,previous_model_score
YUM,"YUM! BRANDS, INC.",Consumer Discretionary,2026-02-10,101.0,39.0,-62.0
CBOE,"CBOE GLOBAL MARKETS, INC.",Financials,2026-02-10,94.0,38.0,-56.0
JBL,JABIL INC.,Information Technology,2026-02-10,85.0,23.0,-62.0
TTD,"THE TRADE DESK, INC.",Communication Services,2026-02-10,85.0,50.0,-35.0
QQQ,INVESCO QQQ TRUST 1,Sector & Style ETFs,2026-02-10,84.0,84.0,0.0
NQ=F,NASDAQ 100 FUTURES,Futures,2026-02-10,78.0,32.0,-46.0
FIS,FIDELITY NATIONAL INFORMATION SERVICES,Financials,2026-02-10,74.0,39.0,-35.0
HAL,HALLIBURTON COMPANY,Energy,2026-02-10,74.0,25.0,-49.0
VLTO,VERALTO ,Industrials,2026-02-10,72.0,-0.0,-72.0
WDAY,"WORKDAY, INC.",Information Technology,2026-02-10,72.0,58.0,-14.0
