Date,Ticker,Ticker_name,Close,day_pr_low,day_pr_high,week_pr_low,week_pr_high,month_pr_low,month_pr_high,day_rr_ratio,week_rr_ratio,month_rr_ratio,gap_lt,gap_lt_avg,gap_lt_hi,gap_lt_lo,ST_Trend,st_avg,st_lo,st_hi,MT_Trend,mt_avg,mt_lo,mt_hi,LT_Trend,lt_avg,lt_lo,lt_hi,ST_Trend_Change,Z-Score Rank,Z-Score,Sharpe,Sharpe_avg,Sharpe_hi,Sharpe_low,Sharpe_Rank,prem_disc,prem_disc_avg,prem_disc_lo,prem_disc_hi,factor,model_score
2024-08-01,ORCL,ORACLE ,137.51,133.69,142.55,128.4,153.91,121.57,163.4,1.3193717277486987,1.8002195389681703,1.6242158092848191,-11.590000000000003,-26.70873333333333,-9.65128096396312,-43.76618570270354,-0.00722716,0.013333041100000002,-0.029894122610348902,0.0565602048103489,0.029594,0.04392965366666664,-0.017331332276057723,0.105190639609391,0.05559023,0.08755933029900337,0.06456264386864358,0.11055601672936316,-0.00041385,44.9,-0.43,-6.5,-0.2446666666666665,4.517489567177482,-5.006822900510815,15.9,0.14676113911500477,-0.05851963663062545,-0.5053452077947732,0.3883059345335223,0.4923942496457278,30.0
2024-08-02,ORCL,ORACLE ,133.28,133.69,142.55,128.4,153.91,121.57,163.4,4.267015706806293,4.227459016393445,2.5721605465414163,-15.819999999999993,-26.70873333333333,-9.65128096396312,-43.76618570270354,-0.01180393,0.013333041100000002,-0.029894122610348902,0.0565602048103489,0.029594,0.04392965366666664,-0.017331332276057723,0.105190639609391,0.05559023,0.08755933029900337,0.06456264386864358,0.11055601672936316,-0.00457677,48.8,-0.23,-8.1,-0.2446666666666665,4.517489567177482,-5.006822900510815,2.2,0.07980379763791245,-0.05851963663062545,-0.5053452077947732,0.3883059345335223,0.7676582056905007,47.0
2024-08-05,ORCL,ORACLE ,127.86,131.37,141.43,120.8,149.17,121.57,163.4,43.57692307692221,3.0184135977337085,5.650238473767881,-21.239999999999995,-26.70873333333333,-9.65128096396312,-43.76618570270354,-0.02405139,0.013333041100000002,-0.029894122610348902,0.0565602048103489,0.0214579,0.04392965366666664,-0.017331332276057723,0.105190639609391,0.05559023,0.08755933029900337,0.06456264386864358,0.11055601672936316,-0.01224745,64.6,0.09,-9.6,-0.2446666666666665,4.517489567177482,-5.006822900510815,2.1,0.3334792447273256,-0.05851963663062545,-0.5053452077947732,0.3883059345335223,0.8942379272623783,28.0
2024-08-06,ORCL,ORACLE ,128.21,127.6,139.19,120.8,149.17,121.57,163.4,2.2714681440443094,2.8286099865047163,5.299698795180711,-20.889999999999986,-26.70873333333333,-9.65128096396312,-43.76618570270354,-0.02851619,0.013333041100000002,-0.029894122610348902,0.0565602048103489,0.0214579,0.04392965366666664,-0.017331332276057723,0.105190639609391,0.05559023,0.08755933029900337,0.06456264386864358,0.11055601672936316,-0.00446481,67.9,0.18,-7.8,-0.2446666666666665,4.517489567177482,-5.006822900510815,10.0,-0.024043768038543134,-0.05851963663062545,-0.5053452077947732,0.3883059345335223,0.822111789625388,26.0
2024-08-07,ORCL,ORACLE ,125.9,124.6,136.41,120.8,149.17,121.57,163.4,2.017948717948716,4.562745098039205,8.660508083140853,-23.19999999999999,-26.70873333333333,-9.65128096396312,-43.76618570270354,-0.0307221,0.013333041100000002,-0.029894122610348902,0.0565602048103489,0.0214579,0.04392965366666664,-0.017331332276057723,0.105190639609391,0.05559023,0.08755933029900337,0.06456264386864358,0.11055601672936316,-0.0022059,68.6,0.19,-9.6,-0.2446666666666665,4.517489567177482,-5.006822900510815,3.8,0.350194306563548,-0.05851963663062545,-0.5053452077947732,0.3883059345335223,0.9417254760710482,30.0
2024-08-08,ORCL,ORACLE ,128.96,122.0,133.77,120.8,149.17,121.57,163.4,-2.121546961325966,2.476715686274504,4.660351826792954,-20.139999999999986,-26.70873333333333,-9.65128096396312,-43.76618570270354,-0.02886473,0.013333041100000002,-0.029894122610348902,0.0565602048103489,0.0214579,0.04392965366666664,-0.017331332276057723,0.105190639609391,0.05559023,0.08755933029900337,0.06456264386864358,0.11055601672936316,0.00185737,78.4,0.5,-8.2,-0.2446666666666665,4.517489567177482,-5.006822900510815,9.3,-0.04365994928671035,-0.05851963663062545,-0.5053452077947732,0.3883059345335223,1.0744582023755245,32.0
2024-08-09,ORCL,ORACLE ,132.06,121.28,132.58,120.8,149.17,121.57,163.4,-6.409937888198821,1.519538188277085,2.9876072449952313,-17.039999999999992,-26.70873333333333,-9.65128096396312,-43.76618570270354,-0.02480023,0.013333041100000002,-0.029894122610348902,0.0565602048103489,0.0214579,0.04392965366666664,-0.017331332276057723,0.105190639609391,0.05559023,0.08755933029900337,0.06456264386864358,0.11055601672936316,0.0040645,87.8,0.97,-7.3,-0.2446666666666665,4.517489567177482,-5.006822900510815,25.0,0.21581388486121877,-0.05851963663062545,-0.5053452077947732,0.3883059345335223,1.0388028732175603,31.0
2024-08-12,ORCL,ORACLE ,132.58,121.74,133.67,120.64,146.44,121.57,163.4,-5.428571428571478,1.1608040201005,2.7992733878292406,-16.519999999999982,-26.70873333333333,-9.65128096396312,-43.76618570270354,-0.02339954,0.013333041100000002,-0.029894122610348902,0.0565602048103489,0.0176873,0.04392965366666664,-0.017331332276057723,0.105190639609391,0.05559023,0.08755933029900337,0.06456264386864358,0.11055601672936316,0.00140069,96.7,1.58,-6.7,-0.2446666666666665,4.517489567177482,-5.006822900510815,32.8,0.3351255952582899,-0.05851963663062545,-0.5053452077947732,0.3883059345335223,1.0594160256279357,29.0
2024-08-13,ORCL,ORACLE ,134.26,122.32,134.47,120.64,146.44,121.57,163.4,-7.449275362318856,-1.1182266009852202,2.296296296296298,-14.840000000000003,-26.70873333333333,-9.65128096396312,-43.76618570270354,-0.02300729,0.013333041100000002,-0.029894122610348902,0.0565602048103489,0.0176873,0.04392965366666664,-0.017331332276057723,0.105190639609391,0.05559023,0.08755933029900337,0.06456264386864358,0.11055601672936316,0.00039225,94.7,1.5,-5.8,-0.2446666666666665,4.517489567177482,-5.006822900510815,38.3,0.22686546583450617,-0.05851963663062545,-0.5053452077947732,0.3883059345335223,0.9919919818313551,29.0
2024-08-14,ORCL,ORACLE ,135.6,123.98,135.64,120.64,146.44,121.57,163.4,-5.238341968911898,-1.3800738007380065,1.981468282252317,-13.5,-26.70873333333333,-9.65128096396312,-43.76618570270354,-0.02065774,0.013333041100000002,-0.029894122610348902,0.0565602048103489,0.0176873,0.04392965366666664,-0.017331332276057723,0.105190639609391,0.05559023,0.08755933029900337,0.06456264386864358,0.11055601672936316,0.00234954,92.7,1.41,-4.0,-0.2446666666666665,4.517489567177482,-5.006822900510815,56.5,0.14604645527074078,-0.05851963663062545,-0.5053452077947732,0.3883059345335223,0.919587694541006,27.0
2024-08-15,ORCL,ORACLE ,136.93,125.49,137.53,120.64,146.44,121.57,163.4,-3.995850622406649,-1.71293375394322,1.723307291666665,-12.169999999999987,-26.70873333333333,-9.65128096396312,-43.76618570270354,-0.01629441,0.013333041100000002,-0.029894122610348902,0.0565602048103489,0.0176873,0.04392965366666664,-0.017331332276057723,0.105190639609391,0.05559023,0.08755933029900337,0.06456264386864358,0.11055601672936316,0.00436333,86.7,1.12,-3.2,-0.2446666666666665,4.517489567177482,-5.006822900510815,64.1,0.1484739055489377,-0.05851963663062545,-0.5053452077947732,0.3883059345335223,0.6923416735669896,21.0
