Ticker,Ticker_name,Category,Date,Sharpe_Ratio_30D_Change
EXR,EXTRA SPACE STORAGE INC.,Real Estate,2025-09-30,-1.2
PSA,PUBLIC STORAGE.,Real Estate,2025-09-30,-1.7
PLD,"PROLOGIS, INC.",Real Estate,2025-09-30,-1.9
VICI,VICI PROPERTIES INC.,Real Estate,2025-09-30,-1.9
CBRE,"CBRE GROUP, INC.",Real Estate,2025-09-30,-2.4
MAA,"MID-AMERICA APARTMENT COMMUNITIES, INC.",Real Estate,2025-09-30,-2.8
SPG,"SIMON PROPERTY GROUP, INC.",Real Estate,2025-09-30,-3.1
CPT,CAMDEN PROPERTY TRUST,Real Estate,2025-09-30,-3.7
INVH,INVITATION HOMES INC.,Real Estate,2025-09-30,-3.8
UDR,"UDR, INC.",Real Estate,2025-09-30,-3.8
BXP,"BOSTON PROPERTIES, INC.",Real Estate,2025-09-30,-3.9
FRT,FEDERAL REALTY INVESTMENT TRUST,Real Estate,2025-09-30,-5.0
HST,"HOST HOTELS & RESORTS, INC.",Real Estate,2025-09-30,-6.9
KIM,KIMCO REALTY .,Real Estate,2025-09-30,-8.3
XLK,SEL SECTOR:TECH SPDR,Sector & Style ETFs,2025-09-30,10.3
XLU,SEL SECTOR:UTIL SPDR,Sector & Style ETFs,2025-09-30,10.2
QQQ,INVESCO QQQ TRUST 1,Sector & Style ETFs,2025-09-30,7.9
MTUM,ISHARES:MSCI USA MOM FCT,Sector & Style ETFs,2025-09-30,7.6
IWF,ISHARES:RUSS 1000 GR ETF,Sector & Style ETFs,2025-09-30,7.0
XLC,SEL SECTOR:COMM SVC SPDR,Sector & Style ETFs,2025-09-30,4.7
OEF,ISHARES:S&P 100,Sector & Style ETFs,2025-09-30,4.2
XLI,SEL SECTOR:INDUST SPDR,Sector & Style ETFs,2025-09-30,3.9
SPHB,INVESCO S&P500 HI BE,Sector & Style ETFs,2025-09-30,3.8
SPY,SPDR S&P 500 ETF,Sector & Style ETFs,2025-09-30,3.6
QUAL,ISHARES:MSCI USA QF,Sector & Style ETFs,2025-09-30,3.1
POWA,INVESCO DEF EQTY ETF,Sector & Style ETFs,2025-09-30,2.6
XLRE,SEL SECTOR:RL EST SPDR,Sector & Style ETFs,2025-09-30,1.2
SPLV,INVESCO S&P500 LOWVL,Sector & Style ETFs,2025-09-30,1.0
XLY,SEL SECTOR:C DSC SPDR,Sector & Style ETFs,2025-09-30,-0.9
RSP,INVESCO S&P500 EWGHT,Sector & Style ETFs,2025-09-30,-1.6
DIA,SPDR DOW JONES INDUS AVG,Sector & Style ETFs,2025-09-30,-1.7
XLV,SEL SECTOR:H CARE SPDR,Sector & Style ETFs,2025-09-30,-2.3
IWM,ISHARES:RUSS 2000 ETF,Sector & Style ETFs,2025-09-30,-2.4
IWD,ISHARES:RUSS 1000 VL ETF,Sector & Style ETFs,2025-09-30,-3.4
MDY,SPDR S&P MIDCAP 400 ETF,Sector & Style ETFs,2025-09-30,-3.5
XLF,SEL SECTOR:FINL S SPDR,Sector & Style ETFs,2025-09-30,-3.5
SDY,SPDR S&P DIVIDEND,Sector & Style ETFs,2025-09-30,-4.3
XLP,SEL SECTOR:C STP SPDR,Sector & Style ETFs,2025-09-30,-4.8
XLE,SEL SECTOR:ENERGY SPDR,Sector & Style ETFs,2025-09-30,-6.7
XLB,SEL SECTOR:MATRLS SPDR,Sector & Style ETFs,2025-09-30,-7.1
WEC,"WEC ENERGY GROUP, INC.",Utilities,2025-09-30,14.4
XEL,XCEL ENERGY INC.,Utilities,2025-09-30,13.3
ED,"CONSOLIDATED EDISON, INC.",Utilities,2025-09-30,12.5
CEG,CONSTELLATION ENERGY .,Utilities,2025-09-30,11.4
ETR,ENTERGY ,Utilities,2025-09-30,11.4
EVRG,"EVERGY, INC.",Utilities,2025-09-30,11.3
CMS,CMS ENERGY ,Utilities,2025-09-30,10.2
ES,EVERSOURCE ENERGY,Utilities,2025-09-30,10.0
AEE,AMEREN ,Utilities,2025-09-30,9.9
DTE,DTE ENERGY COMPANY,Utilities,2025-09-30,9.1
NRG,"NRG ENERGY, INC.",Utilities,2025-09-30,9.1
PEG,PUBLIC SERVICE ENTERPRISE GROUP INC.,Utilities,2025-09-30,8.7
FE,FIRSTENERGY CORP.,Utilities,2025-09-30,8.6
GEV,GE VERNOVA INC.,Utilities,2025-09-30,8.5
VST,VISTRA CORP.,Utilities,2025-09-30,8.4
CNP,"CENTERPOINT ENERGY, INC.",Utilities,2025-09-30,8.2
EXC,EXELON ,Utilities,2025-09-30,8.1
SO,THE SOUTHERN COMPANY,Utilities,2025-09-30,7.9
AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,2025-09-30,7.8
LNT,ALLIANT ENERGY ,Utilities,2025-09-30,7.3
D,"DOMINION ENERGY, INC.",Utilities,2025-09-30,6.2
SRE,SEMPRA,Utilities,2025-09-30,6.1
NI,NISOURCE INC.,Utilities,2025-09-30,6.0
PNW,PINNACLE WEST CAPITAL ,Utilities,2025-09-30,4.7
DUK,DUKE ENERGY ,Utilities,2025-09-30,3.3
PPL,PPL ,Utilities,2025-09-30,1.4
AWK,"AMERICAN WATER WORKS COMPANY, INC.",Utilities,2025-09-30,0.7
NEE,"NEXTERA ENERGY, INC.",Utilities,2025-09-30,0.6
ATO,ATMOS ENERGY ,Utilities,2025-09-30,-0.7
AES,THE AES ,Utilities,2025-09-30,-1.5
EIX,EDISON INTERNATIONAL,Utilities,2025-09-30,-2.0
PCG,PG&E ,Utilities,2025-09-30,-2.1
FVX,5 YR TSY YLD NDX,Yields,2025-09-30,-0.4
TNX,10 Y TSY YLD NDX,Yields,2025-09-30,-4.5
TYX,30 Y TSY YLD NDX,Yields,2025-09-30,-8.8
