Date,Ticker,Ticker_name,Close,monthly_Return,month_pr_low,month_pr_high,month_rr_ratio,model_score,model_score_delta
2026-02-11,MSCI,MSCI INC.,515.66,-0.1536,485.13,675.0,5.219128725843438,22.0,122.0
2026-02-11,CMI,CUMMINS INC.,588.07,0.016,475.79,718.18,1.1587994299964364,62.0,120.0
2026-02-11,AMAT,"APPLIED MATERIALS, INC.",329.07,0.0209,240.81,415.39,-1.0224745134383688,65.0,118.0
2026-02-11,URNM,SPROTT URANIUM MINERS,70.88,-0.0468,51.29,97.57,1.3624298111281268,55.0,115.0
2026-02-11,GOOGL,ALPHABET INC.,318.58,-0.0575,284.48,416.72,2.8780058651026432,86.0,108.0
2026-02-11,MTCH,"MATCH GROUP, INC.",32.49,0.043,26.51,35.95,-1.728323699421965,-38.0,-90.0
2026-02-11,MGM,MGM RESORTS INTERNATIONAL,37.36,0.1139,28.43,41.9,-1.9669603524229078,-63.0,-94.0
2026-02-11,DVA,DAVITA INC.,139.28,0.2738,96.4,150.32,-3.8840579710144953,-92.0,-115.0
2026-02-11,MAA,"MID-AMERICA APARTMENT COMMUNITIES, INC.",136.45,0.016,122.29,149.29,-1.1028037383177554,-45.0,-119.0
2026-02-11,SBAC,SBA COMMUNICATIONS ,189.08,0.027,162.16,206.79,-1.520045172219088,-49.0,-133.0
