Ticker,Ticker_name,Category,Date,wtd_return_pct
BDX,"BECTON, DICKINSON AND COMPANY",Health Care,2026-02-10,-0.1826
WAT,WATERS ,Health Care,2026-02-10,-0.1423
WTW,WILLIS TOWERS WATSON,Financials,2026-02-10,-0.122
AJG,ARTHUR J. GALLAGHER & CO.,Financials,2026-02-10,-0.12
SNDK,SANDISK CORPORATION,Information Technology,2026-02-10,-0.0942
XYL,XYLEM INC.,Industrials,2026-02-10,-0.0929
SPGI,S&P GLOBAL INC.,Financials,2026-02-10,-0.087
UNG,UNITED STATES NAT GAS,Commodities,2026-02-10,-0.0859
BRO,"BROWN & BROWN, INC.",Financials,2026-02-10,-0.0836
RJF,"RAYMOND JAMES FINANCIAL, INC.",Financials,2026-02-10,-0.0794
