Ticker,Ticker_name,Category,Date,change_pct
GLATF,GLOBAL ATOMIC ,MR Discretion,2025-12-03,-0.1983
MCHP,MICROCHIP TECHNOLOGY INC.,Information Technology,2025-12-03,-0.1615
GL,GLOBE LIFE INC.,Financials,2025-12-03,-0.1336
CIVI,"CIVITAS RESOURCES, INC.",MR Discretion,2025-12-03,-0.1218
ON,ON SEMICONDUCTOR ,Information Technology,2025-12-03,-0.1179
DXCM,"DEXCOM, INC.",Health Care,2025-12-03,-0.1109
APA,APA ,Energy,2025-12-03,-0.1083
FISV,"FISERV, INC.",Financials,2025-12-03,-0.1044
STLA,STELLANTIS NV,MR Discretion,2025-12-03,-0.0986
HUM,HUMANA INC.,Health Care,2025-12-03,-0.0961
