Date,Ticker,Z-Score,Z-Score_avg,Z-Score_hi,Z-Score_lo
2025-12-04,AWK,0.71,0.63,0.74,0.52
2025-12-05,AWK,0.55,0.63,0.74,0.52
2025-12-04,AXON,0.71,0.93,1.23,0.62
2025-12-05,AXON,1.14,0.93,1.23,0.62
2025-12-04,AXP,-0.71,-0.62,-0.49,-0.75
2025-12-05,AXP,-0.53,-0.62,-0.49,-0.75
2025-12-04,AZO,-0.71,-0.89,-0.64,-1.14
2025-12-05,AZO,-1.07,-0.89,-0.64,-1.14
2025-12-04,BA,-0.71,-0.8,-0.67,-0.93
2025-12-05,BA,-0.89,-0.8,-0.67,-0.93
2025-12-04,BAC,-0.71,-0.7,-0.69,-0.71
2025-12-05,BAC,-0.69,-0.7,-0.69,-0.71
2025-12-04,BALL,-0.71,-0.77,-0.69,-0.85
2025-12-05,BALL,-0.83,-0.77,-0.69,-0.85
2025-12-04,BAX,0.71,0.61,0.75,0.47
2025-12-05,BAX,0.51,0.61,0.75,0.47
2025-12-04,BBY,-0.71,-0.71,-0.7,-0.71
2025-12-05,BBY,-0.7,-0.71,-0.7,-0.71
2025-12-04,BDX,-0.71,-0.78,-0.68,-0.88
2025-12-05,BDX,-0.85,-0.78,-0.68,-0.88
2025-12-04,BEN,-0.71,-0.78,-0.68,-0.89
2025-12-05,BEN,-0.86,-0.78,-0.68,-0.89
2025-12-04,BF.B,0.71,0.76,0.84,0.69
2025-12-05,BF.B,0.82,0.76,0.84,0.69
2025-12-04,BG,0.71,-0.22,1.1,-1.54
2025-12-05,BG,-1.15,-0.22,1.1,-1.54
2025-12-04,BIIB,-0.71,-0.09,0.79,-0.97
2025-12-05,BIIB,0.53,-0.09,0.79,-0.97
2025-12-04,BK,-0.71,-0.38,0.1,-0.85
2025-12-05,BK,-0.04,-0.38,0.1,-0.85
2025-12-04,BKNG,-0.71,-0.76,-0.69,-0.83
2025-12-05,BKNG,-0.81,-0.76,-0.69,-0.83
2025-12-04,BKR,-0.71,-0.33,0.21,-0.87
2025-12-05,BKR,0.05,-0.33,0.21,-0.87
2025-12-04,BLDR,0.71,0.01,1.0,-0.98
2025-12-05,BLDR,-0.69,0.01,1.0,-0.98
