Date,Ticker,daily_return_pct,daily_return_avg_pct,daily_return_hi_pct,daily_return_lo_pct
2025-12-04,ALB,-0.0581,-0.0054,0.0393,-0.0502
2025-12-05,ALB,0.0508,-0.0054,0.0393,-0.0502
2025-12-02,ALGN,0.0287,0.0175,0.0301,0.0049
2025-12-03,ALGN,0.027,0.0175,0.0301,0.0049
2025-12-04,ALGN,0.0119,0.0175,0.0301,0.0049
2025-12-05,ALGN,0.0024,0.0175,0.0301,0.0049
2025-12-02,ALL,-0.0052,-0.0093,-0.0013,-0.0174
2025-12-03,ALL,-0.0014,-0.0093,-0.0013,-0.0174
2025-12-04,ALL,-0.0108,-0.0093,-0.0013,-0.0174
2025-12-05,ALL,-0.0199,-0.0093,-0.0013,-0.0174
2025-12-02,ALLE,-0.0061,-0.0093,-0.0014,-0.0172
2025-12-03,ALLE,-0.0008,-0.0093,-0.0014,-0.0172
2025-12-04,ALLE,-0.0194,-0.0093,-0.0014,-0.0172
2025-12-05,ALLE,-0.011,-0.0093,-0.0014,-0.0172
2025-12-02,AMAT,0.0415,0.0129,0.0333,-0.0075
2025-12-03,AMAT,0.0124,0.0129,0.0333,-0.0075
2025-12-04,AMAT,0.003,0.0129,0.0333,-0.0075
2025-12-05,AMAT,-0.0053,0.0129,0.0333,-0.0075
2025-12-02,AMCR,-0.0164,-0.0071,0.0045,-0.0186
2025-12-03,AMCR,0.0071,-0.0071,0.0045,-0.0186
2025-12-04,AMCR,-0.0165,-0.0071,0.0045,-0.0186
2025-12-05,AMCR,-0.0024,-0.0071,0.0045,-0.0186
2025-12-02,AMD,-0.0206,-0.002,0.013,-0.0169
2025-12-03,AMD,0.011,-0.002,0.013,-0.0169
2025-12-04,AMD,-0.0074,-0.002,0.013,-0.0169
2025-12-05,AMD,0.0092,-0.002,0.013,-0.0169
2025-12-02,AME,0.0086,0.0053,0.01,0.0007
2025-12-03,AME,0.0098,0.0053,0.01,0.0007
2025-12-05,AME,0.0029,0.0053,0.01,0.0007
2025-12-02,AMGN,0.0026,-0.0055,0.0166,-0.0276
2025-12-03,AMGN,0.0209,-0.0055,0.0166,-0.0276
2025-12-04,AMGN,-0.0152,-0.0055,0.0166,-0.0276
2025-12-05,AMGN,-0.0302,-0.0055,0.0166,-0.0276
2025-12-02,AMP,0.0041,0.012,0.0236,0.0004
2025-12-03,AMP,0.0292,0.012,0.0236,0.0004
2025-12-04,AMP,0.0085,0.012,0.0236,0.0004
2025-12-05,AMP,0.0062,0.012,0.0236,0.0004
2025-12-02,AMT,-0.0026,0.0037,0.0115,-0.0041
2025-12-03,AMT,0.0021,0.0037,0.0115,-0.0041
2025-12-04,AMT,0.015,0.0037,0.0115,-0.0041
2025-12-05,AMT,0.0002,0.0037,0.0115,-0.0041
2025-12-02,AMZN,0.0023,-0.0047,0.0034,-0.0127
2025-12-03,AMZN,-0.0087,-0.0047,0.0034,-0.0127
