Ticker,Ticker_name,Category,Date,mtd_return_pct
SNDK,SANDISK CORPORATION,Information Technology,2026-01-13,0.6421
GEOS,GEOSPACE TECHNOLOGIES ,MR Discretion,2026-01-13,0.3459
MRNA,"MODERNA, INC.",Health Care,2026-01-13,0.3428
INTC,INTEL ,Information Technology,2026-01-13,0.2816
MP,MP MATERIALS CORP,MR Discretion,2026-01-13,0.2633
LRCX,LAM RESEARCH ,Information Technology,2026-01-13,0.2524
ALB,ALBEMARLE ,Materials,2026-01-13,0.2506
WDC,WESTERN DIGITAL ,Information Technology,2026-01-13,0.2422
SLV,ISHARES:SILVER TRUST,Commodities,2026-01-13,0.2201
BLDR,"BUILDERS FIRSTSOURCE, INC.",Industrials,2026-01-13,0.2135
