Ticker,Date,Zscore,prem_disc
BR,2025-10-15,-1.69,0.9422
BR,2025-09-16,-0.83,0.2029
BRK.B,2025-10-15,-0.87,0.7357
BRK.B,2025-09-16,-1.01,0.3817
BRO,2025-10-15,-2.32,0.8847
BRO,2025-09-16,-0.42,0.057
BSX,2025-10-15,-1.26,0.9476
BSX,2025-09-16,0.8,0.5748
BTC=F,2025-10-15,1.74,
BTC=F,2025-09-16,-0.62,
BTI,2025-10-15,-1.06,-0.1244
BTI,2025-09-16,0.57,0.7562
BTU,2025-10-15,1.57,0.0578
BTU,2025-09-16,0.96,-0.0573
BX,2025-10-15,1.91,0.2293
BX,2025-09-16,1.21,0.1825
BXP,2025-10-15,-1.61,0.3797
BXP,2025-09-16,-0.69,-0.2249
C,2025-10-15,2.52,0.3945
C,2025-09-16,-2.52,0.629
CAG,2025-10-15,0.61,0.3134
CAG,2025-09-16,1.42,0.1817
CAH,2025-10-15,0.57,0.1047
CAH,2025-09-16,-1.94,0.5025
CARR,2025-10-15,-0.68,1.042
CARR,2025-09-16,-0.6,-0.0194
CAT,2025-10-15,1.39,0.5403
CAT,2025-09-16,-0.66,0.0476
CB,2025-10-15,-0.38,0.6128
CB,2025-09-16,1.07,0.1055
CBOE,2025-10-15,0.85,0.3737
CBOE,2025-09-16,-2.21,0.0946
CBRE,2025-10-15,-0.17,0.5761
CBRE,2025-09-16,-0.59,0.1313
CCI,2025-10-15,-1.36,0.5989
CCI,2025-09-16,-0.11,0.3592
CCJ,2025-10-15,-3.64,0.8233
CCJ,2025-09-16,3.06,-0.1644
CCL,2025-10-15,0.07,0.4721
CCL,2025-09-16,-0.26,0.3418
CDNS,2025-10-15,-1.64,0.3359
CDNS,2025-09-16,0.85,-0.2158
CDW,2025-10-15,1.29,0.1629
CDW,2025-09-16,-1.09,0.1877
CEG,2025-10-15,0.88,0.27
CEG,2025-09-16,0.78,0.3462
CF,2025-10-15,1.03,0.2494
CF,2025-09-16,-1.71,0.4918
CFG,2025-10-15,2.06,0.0731
CFG,2025-09-16,-1.29,0.322
CHD,2025-10-15,-0.84,0.4228
CHD,2025-09-16,0.33,-0.0173
CHRW,2025-10-15,2.15,0.5037
CHRW,2025-09-16,-0.85,0.3128
CHTR,2025-10-15,1.82,0.9247
CHTR,2025-09-16,-0.8,1.0002
CI,2025-10-15,1.49,0.148
CI,2025-09-16,-0.9,0.7311
CINF,2025-10-15,0.68,0.353
CINF,2025-09-16,-0.89,0.1928
CIVI,2025-10-15,1.91,-0.2807
CIVI,2025-09-16,-0.7,0.0245
CL,2025-10-15,1.65,0.4308
CL,2025-09-16,-1.29,0.3379
CLX,2025-10-15,-0.43,0.7079
CLX,2025-09-16,1.1,0.0776
CMBT,2025-10-15,-0.94,0.0736
CMBT,2025-09-16,0.56,0.0036
CMCSA,2025-10-15,1.94,0.7188
CMCSA,2025-09-16,-1.39,0.956
CME,2025-10-15,-0.02,0.815
CME,2025-09-16,-1.69,0.4309
CMG,2025-10-15,1.51,0.6937
CMG,2025-09-16,-0.71,0.7851
CMI,2025-10-15,2.28,0.3449
CMI,2025-09-16,-1.51,0.2272
CMRE,2025-10-15,2.1,-0.1311
CMRE,2025-09-16,-0.92,0.0716
CMS,2025-10-15,-0.47,1.4145
CMS,2025-09-16,-0.21,-0.0858
