Date,Ticker,Ticker_name,Exposure,Category,model_score_mtd_change,current_model_score,previous_model_score
2026-02-09,BALL,BALL ,Materials,Materials,-34.0,-60.0,-26.0
2026-02-09,BAX,BAXTER INTERNATIONAL INC.,Health Care,Health Care,-37.0,-49.0,-12.0
2026-02-09,BBY,"BEST BUY CO., INC.",Consumer Discretionary,Consumer Discretionary,-12.0,-20.0,-8.0
2026-02-09,BDX,"BECTON, DICKINSON AND COMPANY",Health Care,Health Care,-25.0,-41.0,-16.0
2026-02-09,BEN,"FRANKLIN RESOURCES, INC.",Financials,Financials,42.0,-37.0,-79.0
2026-02-09,BF.B,BROWN-FORMAN ,Consumer Staples,Consumer Staples,-32.0,-35.0,-3.0
2026-02-09,BG,BUNGE LIMITED,Consumer Staples,Consumer Staples,23.0,-7.0,-30.0
2026-02-09,BIIB,BIOGEN INC.,Health Care,Health Care,-45.0,-33.0,12.0
2026-02-09,BK,THE BANK OF NEW YORK MELLON ,Financials,Financials,-33.0,-25.0,8.0
2026-02-09,BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,Consumer Discretionary,-20.0,0.0,20.0
2026-02-09,BKR,BAKER HUGHES COMPANY,Energy,Energy,14.0,-37.0,-51.0
2026-02-09,BLDR,"BUILDERS FIRSTSOURCE, INC.",Industrials,Industrials,25.0,-54.0,-79.0
2026-02-09,BLK,"BLACKROCK, INC.",Financials,Financials,27.0,16.0,-11.0
2026-02-09,BMY,BRISTOL-MYERS SQUIBB COMPANY,Health Care,Health Care,-78.0,-53.0,25.0
2026-02-09,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",Industrials,Industrials,1.0,1.0,-0.0
2026-02-09,BRK.B,"BERKSHIRE HATHAWAY INC.,",Financials,Financials,-33.0,-14.0,19.0
2026-02-09,BRO,"BROWN & BROWN, INC.",Financials,Financials,-74.0,-79.0,-5.0
2026-02-09,BSX,BOSTON SCIENTIFIC ,Health Care,Health Care,18.0,0.0,-18.0
2026-02-09,BTC=F,BITCOIN FUTURES,,Futures,24.0,0.0,-24.0
2026-02-09,BTI,BRITISH AMERICAN TOBACCO P.L.C.,,MR Discretion,29.0,12.0,-17.0
2026-02-09,BTU,PEABODY ENERGY ,,MR Discretion,-26.0,3.0,29.0
2026-02-09,BX,BLACKSTONE INC,Financials,Financials,53.0,28.0,-25.0
2026-02-09,BXP,"BOSTON PROPERTIES, INC.",Real Estate,Real Estate,-45.0,-33.0,12.0
2026-02-09,C,CITIGROUP INC.,Financials,Financials,-20.0,11.0,31.0
2026-02-09,CAG,"CONAGRA BRANDS, INC.",Consumer Staples,Consumer Staples,-85.0,-102.0,-17.0
2026-02-09,CAH,"CARDINAL HEALTH, INC.",Health Care,Health Care,-34.0,10.0,44.0
