Ticker,Ticker_name,Category,Date,model_score,R/R Ratio
EQR,EQUITY RESIDENTIAL,Real Estate,2026-02-10,-91.0,-3.2
XLRE,SEL SECTOR:RL EST SPDR,Sector & Style ETFs,2026-02-10,-60.0,-4.3
MAA,"MID-AMERICA APARTMENT COMMUNITIES, INC.",Real Estate,2026-02-10,-45.0,-63.8
AVB,"AVALONBAY COMMUNITIES, INC.",Real Estate,2026-02-10,-44.0,-4.7
PTC,PTC INC.,Information Technology,2026-02-10,-44.0,-5.9
MAS,MASCO ,Industrials,2026-02-10,-41.0,-6.4
HAS,"HASBRO, INC.",Consumer Discretionary,2026-02-10,-37.0,-25.0
ESS,"ESSEX PROPERTY TRUST, INC.",Real Estate,2026-02-10,-36.0,-5.6
PSA,PUBLIC STORAGE.,Real Estate,2026-02-10,-36.0,-3.3
DD,"DUPONT DE NEMOURS, INC.",Materials,2026-02-10,-35.0,-5.3
