Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_mtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2025-12-16,BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,Consumer Discretionary,45.1,93.1,48.0
2025-12-16,BKR,BAKER HUGHES COMPANY,Energy,Energy,-51.0,8.5,59.5
2025-12-16,BLDR,"BUILDERS FIRSTSOURCE, INC.",Industrials,Industrials,7.7,73.0,65.3
2025-12-16,BLK,"BLACKROCK, INC.",Financials,Financials,59.9,76.4,16.5
2025-12-16,BMY,BRISTOL-MYERS SQUIBB COMPANY,Health Care,Health Care,8.1,99.8,91.7
2025-12-16,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",Industrials,Industrials,-18.2,54.8,73.0
2025-12-16,BRK.B,"BERKSHIRE HATHAWAY INC.,",Financials,Financials,-57.7,40.1,97.8
2025-12-16,BRO,"BROWN & BROWN, INC.",Financials,Financials,2.0,64.5,62.5
2025-12-16,BSX,BOSTON SCIENTIFIC ,Health Care,Health Care,-47.8,9.9,57.7
2025-12-16,BTC=F,BITCOIN FUTURES,,Futures,27.0,35.9,8.9
2025-12-16,BTI,BRITISH AMERICAN TOBACCO P.L.C.,,MR Discretion,-36.5,57.5,94.0
2025-12-16,BTU,PEABODY ENERGY ,,MR Discretion,-18.1,46.6,64.7
2025-12-16,BX,BLACKSTONE INC,Financials,Financials,44.9,90.1,45.2
2025-12-16,BXP,"BOSTON PROPERTIES, INC.",Real Estate,Real Estate,-2.0,71.4,73.4
2025-12-16,C,CITIGROUP INC.,Financials,Financials,42.1,91.3,49.2
2025-12-16,CAG,"CONAGRA BRANDS, INC.",Consumer Staples,Consumer Staples,5.7,94.8,89.1
2025-12-16,CAH,"CARDINAL HEALTH, INC.",Health Care,Health Care,-69.6,4.8,74.4
2025-12-16,CALM,"CAL-MAINE FOODS, INC.",,MR Discretion,20.2,33.9,13.7
2025-12-16,CANE,TEUCRIUM:SUGAR,,Commodities,-20.4,75.0,95.4
2025-12-16,CARR,CARRIER GLOBAL ,Industrials,Industrials,37.9,74.4,36.5
2025-12-16,CAT,CATERPILLAR INC.,Industrials,Industrials,25.8,58.9,33.1
2025-12-16,CB,CHUBB LTD,Financials,Financials,-4.3,89.5,93.8
2025-12-16,CBOE,"CBOE GLOBAL MARKETS, INC.",Financials,Financials,-86.3,11.1,97.4
2025-12-16,CBRE,"CBRE GROUP, INC.",Real Estate,Real Estate,3.2,77.0,73.8
2025-12-16,CCI,CROWN CASTLE INC.,Real Estate,Real Estate,-26.5,30.6,57.1
2025-12-16,CCJ,CAMECO ,,MR Discretion,45.4,57.3,11.9
2025-12-16,CCL,CARNIVAL CORP,Consumer Discretionary,Consumer Discretionary,49.0,77.6,28.6
2025-12-16,CDNS,"CADENCE DESIGN SYSTEMS, INC.",Information Technology,Information Technology,55.4,62.1,6.7
2025-12-16,CDW,CDW ,Information Technology,Information Technology,36.5,79.6,43.1
2025-12-16,CEG,CONSTELLATION ENERGY,Utilities,Utilities,42.7,68.7,26.0
2025-12-16,CF,"CF INDUSTRIES HOLDINGS, INC.",Materials,Materials,12.9,39.9,27.0
2025-12-16,CFG,"CITIZENS FINANCIAL GROUP, INC.",Financials,Financials,21.6,95.6,74.0
2025-12-16,CHD,"CHURCH & DWIGHT CO., INC.",Consumer Staples,Consumer Staples,-7.6,83.9,91.5
2025-12-16,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",Industrials,Industrials,0.8,58.9,58.1
2025-12-16,CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,Communication Services,65.7,86.1,20.4
2025-12-16,CI,THE CIGNA GROUP,Health Care,Health Care,-35.3,53.4,88.7
2025-12-16,CINF,CINCINNATI FINANCIAL ,Financials,Financials,-34.1,60.5,94.6
2025-12-16,CIVI,"CIVITAS RESOURCES, INC.",,MR Discretion,-28.4,36.9,65.3
2025-12-16,CL,COLGATE-PALMOLIVE COMPANY,Consumer Staples,Consumer Staples,-29.1,67.5,96.6
2025-12-16,CLX,THE CLOROX COMPANY,Consumer Staples,Consumer Staples,19.0,82.3,63.3
2025-12-16,CMBT,CMB.TECH NV,,MR Discretion,-45.8,52.0,97.8
2025-12-16,CMCSA,COMCAST ,Communication Services,Communication Services,37.1,99.0,61.9
2025-12-16,CME,CME GROUP INC.,Financials,Financials,-73.2,22.0,95.2
2025-12-16,CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,Consumer Discretionary,17.9,99.4,81.5
2025-12-16,CMI,CUMMINS INC.,Industrials,Industrials,0.0,87.1,87.1
2025-12-16,CMRE,COSTAMARE INC.,,MR Discretion,-29.3,66.1,95.4
2025-12-16,CMS,CMS ENERGY ,Utilities,Utilities,-69.4,5.4,74.8
2025-12-16,CNC,CENTENE ,Health Care,Health Care,-16.8,66.7,83.5
2025-12-16,CNP,"CENTERPOINT ENERGY, INC.",Utilities,Utilities,-45.4,6.2,51.6
