Date,Ticker,Ticker_name,Category,Close,monthly_Return,month_pr_low,month_pr_high,month_rr_ratio,model_score,model_score_delta
2026-02-11,EDV,VANGUARD EXT DUR T;ETF,Bonds,66.71,0.0287,59.5,70.9,-1.7207637231503516,7.0,-1.0
2026-02-11,HYD,VANECK:HIGH YIELD MUNI,Bonds,51.06,-0.001,48.67,53.47,1.0083682008368184,12.0,-17.0
2026-02-11,HYG,ISHARES:IBOXX $HY CORP,Bonds,80.84,-0.0035,77.32,84.32,-1.011494252873569,25.0,49.0
2026-02-11,IEF,ISHARES:7-10 TRS BD ETF,Bonds,96.51,0.0059,91.66,101.02,-1.0753880266075428,-3.0,-39.0
2026-02-11,JNK,SPDR BBG HIGH YIELD BD,Bonds,97.49,-0.0034,92.64,101.85,-1.1123853211009163,25.0,65.0
2026-02-11,LQD,ISHARES:IBOXX $IG CORP,Bonds,110.82,0.0023,103.03,118.83,1.028241335044931,-5.0,0.0
2026-02-11,MUB,ISHARES:NATL MUNI BOND,Bonds,107.96,0.001,102.7,112.35,-1.1981776765375831,68.0,48.0
2026-02-11,PFF,ISHARES:PREF AND INC SEC,Bonds,31.52,-0.0054,29.41,33.17,-1.2787878787878768,-1.0,18.0
2026-02-11,SCHP,SCHWAB STR:US TIPS,Bonds,26.76,0.0045,25.4,37.78,8.102941176470571,-14.0,-28.0
2026-02-11,SHY,ISHARES:1-3 TRS BD ETF,Bonds,82.93,-0.0007,80.74,85.52,1.1826484018264727,50.0,71.0
2026-02-11,STIP,ISHARES:0-5 TIPS BD ETF,Bonds,102.97,0.0002,99.16,106.71,-1.018716577540109,-7.0,33.0
2026-02-11,TIP,ISHARES:TIPS BD ETF,Bonds,110.99,0.0046,105.18,116.51,-1.0525362318840539,-24.0,-10.0
2026-02-11,TLT,ISHARES:20+ TRS BD ETF,Bonds,88.53,0.0161,80.29,94.76,-1.3226324237560176,5.0,-35.0
2026-02-11,CANE,TEUCRIUM:SUGAR,Commodities,9.16,-0.0087,8.33,10.11,1.1445783132530112,-10.0,-57.0
2026-02-11,COMT,ISHARES:GSCI COMM DYN RS,Commodities,26.99,-0.0157,23.93,29.43,-1.2540983606557365,15.0,58.0
2026-02-11,CORN,TEUCRIUM:CORN,Commodities,17.46,-0.0011,16.02,18.83,-1.0510948905109518,9.0,18.0
2026-02-11,CPER,UNITED STATES COPPER IDX,Commodities,36.33,-0.0027,32.44,45.92,2.465295629820052,37.0,-26.0
2026-02-11,DBA,INVESCO DB MS AGRI,Commodities,25.73,0.0027,23.97,28.58,1.6193181818181792,-14.0,-1.0
2026-02-11,DBB,INVESCO DB MS BMTL,Commodities,23.87,-0.0054,21.52,28.19,1.8382978723404246,69.0,18.0
2026-02-11,DBC,INVESCO DB CM IDX,Commodities,24.14,-0.0119,21.53,26.78,1.0114942528735638,34.0,50.0
2026-02-11,GDX,VANECK:GOLD MINERS,Commodities,103.01,0.0935,84.28,134.05,1.6572343833422316,-8.0,-13.0
2026-02-11,GDXJ,VANECK:JR GOLD MINERS,Commodities,136.33,0.0986,110.8,180.84,1.7434390912651767,-8.0,-60.0
2026-02-11,GLD,SPDR GOLD,Commodities,462.4,0.0392,404.69,579.22,2.024259227170336,-7.0,-33.0
2026-02-11,PPLT,ABRDN:PHYSICAL PLATINUM,Commodities,190.13,-0.0252,164.41,306.05,4.506998444790048,35.0,51.0
2026-02-11,SILJ,ETFMG PRIME JR SILVR MNR,Commodities,34.38,0.0811,26.02,49.8,1.844497607655501,26.0,-25.0
2026-02-11,SLV,ISHARES:SILVER TRUST,Commodities,73.41,-0.0269,61.07,130.39,4.6175040518638575,45.0,52.0
2026-02-11,SOYB,TEUCRIUM:SOYBEAN,Commodities,23.21,0.0436,20.37,24.27,-2.679245283018871,-16.0,0.0
2026-02-11,TAGS,TEUCRIUM:AGRICULTURAL,Commodities,22.99,0.0048,21.27,24.47,-1.162162162162161,-16.0,33.0
2026-02-11,UNG,UNITED STATES NAT GAS,Commodities,12.13,-0.2822,8.97,18.48,2.0094936708860756,-16.0,8.0
2026-02-11,URA,GLBL X URANIUM ETF,Commodities,53.5,-0.0271,38.92,74.22,1.421124828532236,37.0,72.0
2026-02-11,USO,UNITED STATES OIL FUND,Commodities,78.03,-0.0187,64.33,87.87,-1.3922764227642275,1.0,-3.0
2026-02-11,WEAT,TEUCRIUM:WHEAT,Commodities,20.67,-0.0143,18.32,23.07,1.0212765957446797,18.0,53.0
2026-02-11,CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,248.19,0.2041,159.51,271.21,-3.852302345786276,-27.0,-17.0
2026-02-11,CMCSA,COMCAST ,Communication Services,32.31,0.0861,24.01,34.45,-3.8785046728971957,-26.0,11.0
2026-02-11,DIS,THE WALT DISNEY COMPANY,Communication Services,109.96,-0.0252,92.04,127.13,-1.0436808386721017,-1.0,2.0
2026-02-11,EA,ELECTRONIC ARTS INC.,Communication Services,202.58,-0.0066,180.48,230.86,1.2796380090497725,65.0,107.0
2026-02-11,FOXA,FOX ,Communication Services,63.37,-0.1293,64.35,84.97,,0.0,-54.0
2026-02-11,GOOGL,ALPHABET INC.,Communication Services,318.58,-0.0575,284.48,416.72,2.8780058651026432,86.0,108.0
2026-02-11,LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,149.32,0.0266,122.41,173.46,-1.114747307373653,15.0,18.0
2026-02-11,META,"META PLATFORMS, INC.",Communication Services,670.72,-0.0639,551.31,854.99,1.543170588727911,5.0,33.0
2026-02-11,MTCH,"MATCH GROUP, INC.",Communication Services,32.49,0.043,26.51,35.95,-1.728323699421965,-38.0,-90.0
2026-02-11,NFLX,"NETFLIX, INC.",Communication Services,82.21,-0.0153,70.92,105.21,2.0372010628875126,-4.0,33.0
2026-02-11,NWSA,NEWS CORP.,Communication Services,23.58,-0.1276,21.81,29.22,3.186440677966103,0.0,23.0
2026-02-11,OMC,OMNICOM GROUP INC.,Communication Services,73.06,-0.0517,63.99,86.24,1.4531422271223806,0.0,-4.0
2026-02-11,PSKY,PARAMOUNT SKYDANCE ,Communication Services,10.84,-0.033,9.06,14.48,2.04494382022472,12.0,-12.0
2026-02-11,T,AT&T INC.,Communication Services,27.41,0.0458,22.65,30.42,-1.581395348837209,-50.0,-40.0
2026-02-11,TKO,"TKO GROUP HOLDINGS, INC.",Communication Services,214.11,0.0569,188.53,248.63,1.3494917904612964,54.0,8.0
