Date,Ticker,Ticker_name,Close,weekly_Return,week_pr_low,week_pr_high,week_rr_ratio,model_score,model_score_delta
2026-02-11,SPX,S&P 500 INDEX,6941.81,0.0014,6714.18,7157.74,-1.0541842263696604,26.0,35.0
2026-02-11,NDX,NASDAQ 100 INDEX,25127.64,0.0021,23997.19,26217.41,-1.0373289776741883,-4.0,12.0
2026-02-11,DJI,DOW JONES INDUSTRIAL AVG INDEX,50188.14,0.0014,48348.1,51797.52,-1.1433222731735226,-34.0,-16.0
2026-02-11,RUT,RUSSELL 2000 INDEX,2679.77,0.0035,2543.61,2812.23,-1.0279329608938534,16.0,27.0
2026-02-11,XLB,SEL SECTOR:MATRLS SPDR,52.91,0.0272,48.2,56.96,-1.16296296296296,-14.0,2.0
2026-02-11,XLC,SEL SECTOR:COMM SVC SPDR,117.58,0.0157,109.36,126.15,1.0425790754257918,38.0,0.0
2026-02-11,XLE,SEL SECTOR:ENERGY SPDR,53.58,0.0062,48.41,58.71,-1.0077972709551655,-45.0,-23.0
2026-02-11,XLF,SEL SECTOR:FINL S SPDR,53.55,-0.0131,50.03,57.93,1.2443181818181839,-7.0,-2.0
2026-02-11,XLI,SEL SECTOR:INDUST SPDR,173.91,0.0042,161.65,188.44,1.1851549755301805,-41.0,-21.0
2026-02-11,XLK,SEL SECTOR:TECH SPDR,142.55,0.0101,128.35,153.41,-1.3075506445672225,38.0,15.0
2026-02-11,XLP,SEL SECTOR:C STP SPDR,87.15,-0.009,80.7,95.42,1.2821705426356578,-37.0,0.0
2026-02-11,XLRE,SEL SECTOR:RL EST SPDR,42.84,0.0202,39.64,44.71,-1.7112299465240681,-60.0,-17.0
2026-02-11,XLU,SEL SECTOR:UTIL SPDR,44.2,0.0196,40.48,46.57,-1.569620253164561,-6.0,-16.0
2026-02-11,XLV,SEL SECTOR:H CARE SPDR,155.33,-0.0151,147.82,166.84,1.5326231691078511,47.0,58.0
2026-02-11,XLY,SEL SECTOR:C DSC SPDR,118.33,0.0029,107.84,129.59,1.073403241182079,45.0,45.0
2026-02-11,GLD,SPDR GOLD,462.4,0.0152,422.3,518.07,1.388279301745639,-7.0,-46.0
2026-02-11,DXY,US DOLLAR INDEX,96.91,-0.0079,93.47,99.9,-1.1505016722407984,18.0,5.0
2026-02-11,TLT,ISHARES:20+ TRS BD ETF,88.53,0.0113,82.59,91.68,-1.8857142857142817,5.0,8.0
2026-02-11,BTC=F,BITCOIN FUTURES,69250.0,-0.0188,53477.85,78256.25,-1.7512449687716864,0.0,24.0
