Ticker,Ticker_name,Category,Date,daily_return_pct
BDX,"BECTON, DICKINSON AND COMPANY",Health Care,2026-02-10,-0.1722
SPGI,S&P GLOBAL INC.,Financials,2026-02-10,-0.0971
RJF,"RAYMOND JAMES FINANCIAL, INC.",Financials,2026-02-10,-0.0875
INCY,INCYTE ,Health Care,2026-02-10,-0.0824
WDC,WESTERN DIGITAL ,Information Technology,2026-02-10,-0.0819
XYL,XYLEM INC.,Industrials,2026-02-10,-0.0804
MSCI,MSCI INC.,Financials,2026-02-10,-0.0782
SCHW,THE CHARLES SCHWAB ,Financials,2026-02-10,-0.0742
SNDK,SANDISK CORPORATION,Information Technology,2026-02-10,-0.0716
MCO,MOODY'S ,Financials,2026-02-10,-0.0679
