Date,Ticker,Ticker_name,Exposure,Category,model_score_wtd_change,current_model_score,previous_model_score
2025-10-17,THD,ISHARES:MSCI THAI,,Foreign,-4.0,19.0,23.0
2025-10-17,TIP,ISHARES:TIPS BD ETF,Bonds,Bonds,22.0,59.0,37.0
2025-10-17,TJX,"THE TJX COMPANIES, INC.",Consumer Discretionary,Consumer Discretionary,-14.0,43.0,57.0
2025-10-17,TKO,"TKO GROUP HOLDINGS, INC.",Communication Services,Communication Services,0.0,0.0,0.0
2025-10-17,TLT,ISHARES:20+ TRS BD ETF,Bonds,Bonds,-69.0,-23.0,46.0
2025-10-17,TMO,THERMO FISHER SCIENTIFIC INC.,Health Care,Health Care,-2.0,-44.0,-42.0
2025-10-17,TMUS,"T-MOBILE US, INC.",Communication Services,Communication Services,0.0,0.0,-0.0
2025-10-17,TNX,10 Y TSY YLD NDX,Yields,Yields,26.0,-42.0,-68.0
2025-10-17,TPL,TEXAS PACIFIC LAND ,Energy,Energy,-11.0,-26.0,-15.0
2025-10-17,TPR,"TAPESTRY, INC.",Consumer Discretionary,Consumer Discretionary,-43.0,24.0,67.0
2025-10-17,TRGP,TARGA RESOURCES CORP.,Energy,Energy,-34.0,0.0,34.0
2025-10-17,TRMB,TRIMBLE INC.,Information Technology,Information Technology,-41.0,38.0,79.0
2025-10-17,TROW,"T. ROWE PRICE GROUP, INC.",Financials,Financials,-3.0,14.0,17.0
2025-10-17,TRV,"THE TRAVELERS COMPANIES, INC.",Financials,Financials,-67.0,0.0,67.0
2025-10-17,TS,TENARIS SA,,MR Discretion,-54.0,25.0,79.0
2025-10-17,TSCO,TRACTOR SUPPLY COMPANY,Consumer Discretionary,Consumer Discretionary,-34.0,-0.0,34.0
2025-10-17,TSLA,"TESLA, INC.",Consumer Discretionary,Consumer Discretionary,11.0,14.0,3.0
2025-10-17,TSN,"TYSON FOODS, INC.",Consumer Staples,Consumer Staples,-26.0,0.0,26.0
2025-10-17,TT,TRANE TECHNOLOGIES PLC,Industrials,Industrials,9.0,8.0,-1.0
2025-10-17,TTD,"THE TRADE DESK, INC.",Communication Services,Communication Services,54.0,-38.0,-92.0
2025-10-17,TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",Communication Services,Communication Services,-7.0,50.0,57.0
2025-10-17,TUR,ISHARES:MSCI TURKEY,,Foreign,26.0,-8.0,-34.0
2025-10-17,TXN,TEXAS INSTRUMENTS INC.,Information Technology,Information Technology,0.0,0.0,0.0
2025-10-17,TXT,TEXTRON INC.,Industrials,Industrials,40.0,23.0,-17.0
2025-10-17,TYL,"TYLER TECHNOLOGIES, INC.",Information Technology,Information Technology,0.0,-0.0,-0.0
2025-10-17,TYX,30 Y TSY YLD NDX,Yields,Yields,11.0,-48.0,-59.0
2025-10-17,UAL,"UNITED AIRLINES HOLDINGS, INC.",Industrials,Industrials,-17.0,22.0,39.0
