Metric,15D,30D,90D
S&P 500 (SPX),-0.2,-0.25,-0.05
U.S. Oil Fund (USO),-0.35,-0.27,-0.05
Broad Commodities (COMT),-0.36,-0.14,-0.06
Gold Trust (GLD),-0.36,-0.33,-0.25
Bitcoin Futures (BTC),-0.03,-0.05,-0.05
