Ticker,Ticker_name,Category,Date,Sharpe_Rank
BG,BUNGE LIMITED,Consumer Staples,2025-10-20,99.8
EXR,EXTRA SPACE STORAGE INC.,Real Estate,2025-10-20,99.8
JNJ,JOHNSON & JOHNSON,Health Care,2025-10-20,99.8
K,KELLANOVA,Consumer Staples,2025-10-20,99.8
LW,"LAMB WESTON HOLDINGS, INC.",Consumer Staples,2025-10-20,99.8
PSA,PUBLIC STORAGE.,Real Estate,2025-10-20,99.8
TECH,BIO-TECHNE ,Health Care,2025-10-20,99.8
AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,2025-10-20,99.2
COO,"THE COOPER COMPANIES, INC.",Health Care,2025-10-20,98.8
ATO,ATMOS ENERGY ,Utilities,2025-10-20,98.6
