Metric,15D,30D,90D
S&P 500 (SPX),0.22,-0.1,0.07
Nasdaq 100 (NDX),0.15,-0.11,0.1
Russell 2000 (RUT),0.11,0.02,0.06
Financials (XLF),0.31,0.05,0.03
Utilities (XLU),-0.42,-0.17,-0.15
Long Treasuries (TLT),-0.92,-0.91,-0.91
