Ticker,Ticker_name,Category,Date,qtd_return_pct
GEOS,GEOSPACE TECHNOLOGIES ,MR Discretion,2026-02-10,-0.4086
IT,"GARTNER, INC.",Information Technology,2026-02-10,-0.3662
INTU,INTUIT INC.,Information Technology,2026-02-10,-0.3639
STLA,STELLANTIS NV,MR Discretion,2026-02-10,-0.3131
NOW,"SERVICENOW, INC.",Information Technology,2026-02-10,-0.3049
APP,APPLOVIN CORP,Information Technology,2026-02-10,-0.2982
FDS,FACTSET RESEARCH SYSTEMS INC.,Financials,2026-02-10,-0.2942
HUM,HUMANA INC.,Health Care,2026-02-10,-0.2922
PYPL,"PAYPAL HOLDINGS, INC.",Financials,2026-02-10,-0.2893
WDAY,"WORKDAY, INC.",Information Technology,2026-02-10,-0.2866
