Date,Ticker,Ticker_name,Exposure,Category,model_score
2025-11-07,CORN,TEUCRIUM:CORN,,Commodities,-12.0
2025-11-07,COST,COSTCO WHOLESALE ,Consumer Staples,Consumer Staples,-5.0
2025-11-07,CPAY,"FLEETCOR TECHNOLOGIES, INC.",Financials,Financials,-27.0
2025-11-07,CPB,CAMPBELL SOUP COMPANY,Consumer Staples,Consumer Staples,-46.0
2025-11-07,CPER,UNITED STATES COPPER IDX,,Commodities,32.0
2025-11-07,CPRT,"COPART, INC.",Industrials,Industrials,-40.0
2025-11-07,CPT,CAMDEN PROPERTY TRUST,Real Estate,Real Estate,22.0
2025-11-07,CRESY,CRESUD INC.,,MR Discretion,10.0
2025-11-07,CRL,CHARLES RIVER LABORATORIES,Health Care,Health Care,5.0
2025-11-07,CRM,"SALESFORCE, INC.",Information Technology,Information Technology,3.0
2025-11-07,CRWD,"CROWDSTRIKE HOLDINGS, INC.",Information Technology,Information Technology,-8.0
2025-11-07,CSCO,"CISCO SYSTEMS, INC.",Information Technology,Information Technology,15.0
2025-11-07,CSGP,"COSTAR GROUP, INC.",Real Estate,Real Estate,11.0
2025-11-07,CSX,CSX ,Industrials,Industrials,5.0
2025-11-07,CTAS,CINTAS ,Industrials,Industrials,-21.0
2025-11-07,CTRA,COTERRA ENERGY INC.,Energy,Energy,-27.0
2025-11-07,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS ,Information Technology,Information Technology,1.0
2025-11-07,CTVA,"CORTEVA, INC.",Materials,Materials,2.0
2025-11-07,CVS,CVS HEALTH ,Health Care,Health Care,30.0
2025-11-07,CVX,CHEVRON ,Energy,Energy,22.0
2025-11-07,D,"DOMINION ENERGY, INC.",Utilities,Utilities,25.0
2025-11-07,DAL,"DELTA AIR LINES, INC.",Industrials,Industrials,10.0
2025-11-07,DASH,"DOORDASH, INC.",Consumer Discretionary,Consumer Discretionary,-0.0
2025-11-07,DAY,CERIDIAN HCM HOLDING INC.,Industrials,Industrials,-21.0
2025-11-07,DBA,INVESCO DB MS AGRI,,Commodities,-9.0
2025-11-07,DBB,INVESCO DB MS BMTL,,Commodities,10.0
2025-11-07,DBC,INVESCO DB CM IDX,,Commodities,-19.0
2025-11-07,DD,"DUPONT DE NEMOURS, INC.",Materials,Materials,0.0
