Date,Ticker,Ticker_name,Close,weekly_Return,week_pr_low,week_pr_high,week_rr_ratio,model_score,model_score_delta
2026-02-11,VAL,VALARIS LIMITED,79.81,0.2788,56.74,89.96,-2.2729064039408886,-12.0,-50.0
2026-02-11,APP,APPLOVIN CORP,472.92,0.1628,321.77,541.23,-2.21270677792417,0.0,0.0
2026-02-11,DDOG,"DATADOG, INC.",129.67,0.161,95.21,137.84,-4.2178702570379345,-17.0,-48.0
2026-02-11,ORCL,ORACLE ,159.89,0.1195,119.69,177.41,-2.2945205479452033,33.0,38.0
2026-02-11,Q,"QNITY ELECTRONICS, INC.",109.3,0.1128,87.33,121.72,-1.7689210950080512,-32.0,-45.0
2026-02-11,SNDK,SANDISK CORPORATION,541.64,-0.0942,505.37,925.93,10.59525778880618,-26.0,-31.0
2026-02-11,AJG,ARTHUR J. GALLAGHER & CO.,212.58,-0.12,205.56,261.05,6.9045584045583945,-38.0,-58.0
2026-02-11,WTW,WILLIS TOWERS WATSON,289.77,-0.122,273.73,359.01,4.316708229426444,22.0,8.0
2026-02-11,WAT,WATERS ,327.02,-0.1423,317.06,396.76,7.002008032128529,-29.0,-47.0
2026-02-11,BDX,"BECTON, DICKINSON AND COMPANY",171.68,-0.1826,160.9,226.96,5.128014842300556,25.0,45.0
