Ticker,Ticker_name,Category,Date,Spread_Quad,Spread_Score
JBHT,"J. B. HUNT TRANSPORT SERVICES, INC.",Industrials,2025-10-20,4,138.4436
WRB,W. R. BERKLEY ,Financials,2025-10-20,4,102.1074
EIX,EDISON INTERNATIONAL,Utilities,2025-10-20,4,95.9452
MMC,"MARSH & MCLENNAN COMPANIES, INC.",Financials,2025-10-20,4,93.6422
AXP,AMERICAN EXPRESS COMPANY,Financials,2025-10-20,4,74.8756
HPQ,HP INC.,Information Technology,2025-10-20,4,70.1066
HPE,HEWLETT PACKARD ENTERPRISE COMPANY,Information Technology,2025-10-20,4,65.9255
PLD,"PROLOGIS, INC.",Real Estate,2025-10-20,4,61.0244
CFG,"CITIZENS FINANCIAL GROUP, INC.",Financials,2025-10-20,4,52.6054
RF,REGIONS FINANCIAL ,Financials,2025-10-20,4,52.4053
