Date,Ticker,weekly_return_pct,weekly_return_avg_pct,weekly_return_hi_pct,weekly_return_lo_pct
2025-12-01,CB,-0.004,-0.004,-0.004,-0.004
2025-12-01,CBOE,-0.021,-0.021,-0.021,-0.021
2025-12-01,CBRE,-0.006,-0.006,-0.006,-0.006
2025-12-01,CCI,-0.0219,-0.0219,-0.0219,-0.0219
2025-12-01,CCJ,0.0312,0.0312,0.0312,0.0312
2025-12-01,CCL,0.0035,0.0035,0.0035,0.0035
2025-12-01,CDNS,0.0824,0.0824,0.0824,0.0824
2025-12-01,CDW,0.0141,0.0141,0.0141,0.0141
2025-12-01,CEG,-0.0125,-0.0125,-0.0125,-0.0125
2025-12-01,CF,-0.0104,-0.0104,-0.0104,-0.0104
2025-12-01,CFG,0.0251,0.0251,0.0251,0.0251
2025-12-01,CHD,-0.0075,-0.0075,-0.0075,-0.0075
2025-12-01,CHRW,-0.0104,-0.0104,-0.0104,-0.0104
2025-12-01,CHTR,0.0249,0.0249,0.0249,0.0249
2025-12-01,CI,-0.0427,-0.0427,-0.0427,-0.0427
2025-12-01,CINF,-0.0316,-0.0316,-0.0316,-0.0316
2025-12-01,CIVI,0.0347,0.0347,0.0347,0.0347
2025-12-01,CL,-0.0289,-0.0289,-0.0289,-0.0289
2025-12-01,CLX,-0.0282,-0.0282,-0.0282,-0.0282
2025-12-01,CMBT,-0.0119,-0.0119,-0.0119,-0.0119
2025-12-01,CMCSA,0.0232,0.0232,0.0232,0.0232
2025-12-01,CME,-0.0376,-0.0376,-0.0376,-0.0376
2025-12-01,CMG,-0.0168,-0.0168,-0.0168,-0.0168
2025-12-01,CMI,0.0254,0.0254,0.0254,0.0254
2025-12-01,CMRE,0.0563,0.0563,0.0563,0.0563
2025-12-01,CMS,-0.0577,-0.0577,-0.0577,-0.0577
2025-12-01,CNC,-0.0254,-0.0254,-0.0254,-0.0254
2025-12-01,CNP,-0.0388,-0.0388,-0.0388,-0.0388
2025-12-01,CNR,0.0409,0.0409,0.0409,0.0409
2025-12-01,COF,0.053,0.053,0.053,0.053
2025-12-01,COIN,-0.0113,-0.0113,-0.0113,-0.0113
2025-12-01,COMT,0.0091,0.0091,0.0091,0.0091
2025-12-01,COO,0.0445,0.0445,0.0445,0.0445
2025-12-01,COP,0.0564,0.0564,0.0564,0.0564
2025-12-01,COR,-0.0793,-0.0793,-0.0793,-0.0793
2025-12-01,CORN,-0.0068,-0.0068,-0.0068,-0.0068
2025-12-01,COST,-0.0207,-0.0207,-0.0207,-0.0207
2025-12-01,CPAY,0.0502,0.0502,0.0502,0.0502
