Ticker,Ticker_name,Category,Date,volume
NVDA,NVIDIA ,Information Technology,2026-02-10,136.76
RIG,TRANSOCEAN LTD,MR Discretion,2026-02-10,119.35
INTC,INTEL ,Information Technology,2026-02-10,99.83
KVUE,KENVUE INC.,Consumer Staples,2026-02-10,99.76
F,FORD MOTOR COMPANY,Consumer Discretionary,2026-02-10,80.83
SLV,ISHARES:SILVER TRUST,Commodities,2026-02-10,68.59
AMZN,"AMAZON.COM, INC.",Consumer Discretionary,2026-02-10,67.18
SPY,SPDR S&P 500 ETF,Sector & Style ETFs,2026-02-10,65.19
TSLA,"TESLA, INC.",Consumer Discretionary,2026-02-10,64.45
XLF,SEL SECTOR:FINL S SPDR,Sector & Style ETFs,2026-02-10,57.92
