Ticker,Ticker_name,Category,Date,model_score_qtd_change,current_model_score,previous_model_score
EWT,ISHARES:MSCI TAIWAN,Foreign,2025-12-16,131.0,46.0,-85.0
DBC,INVESCO DB CM IDX,Commodities,2025-12-16,129.0,69.0,-60.0
XOM,EXXON MOBIL ,Energy,2025-12-16,107.0,69.0,-38.0
EWZ,ISHARES:MSCI BRAZIL,Foreign,2025-12-16,95.0,13.0,-82.0
MCK,MCKESSON ,Health Care,2025-12-16,94.0,37.0,-57.0
APH,AMPHENOL ,Information Technology,2025-12-16,93.0,35.0,-58.0
WBD,"WARNER BROS. DISCOVERY, INC.",Communication Services,2025-12-16,90.0,3.0,-87.0
AAPL,APPLE INC.,Information Technology,2025-12-16,84.0,5.0,-79.0
HYD,VANECK:HIGH YIELD MUNI,Bonds,2025-12-16,83.0,-10.0,-93.0
MTUM,ISHARES:MSCI USA MOM FCT,Sector & Style ETFs,2025-12-16,81.0,-1.0,-82.0
